id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
br-course,Бразилия: национальный курс,Определить стратегию государства на 2026 год.,70,br,3,1,br-industry,br-army,br-diplomacy,br-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
br-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,br,1,2,br-resources,,,,,,,,,,br-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
br-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,br,1,3,br-doctrine,,,,,,,,,,br-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
br-army,Реформа армии,Обновить структуру войск и резервы.,70,br,3,2,br-bases,,,,,,,,,,br-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
br-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,br,3,3,br-doctrine,,,,,,,,,,br-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
br-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,br,5,2,br-trade,,,,,,,,,,br-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
br-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,br,5,3,br-doctrine,,,,,,,,,,br-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
br-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,br,7,2,br-reactors,,,,,,,,,,br-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
br-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,br,7,3,br-warheads,,,,,,,,,,br-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
br-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,br,7,4,br-grand-design,,,,,,,,,,br-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
br-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,br,4,5,br-grand-design,,,,,,,,,,br-resources,br-bases,br-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
br-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,br,4,6,,,,,,,,,,,br-doctrine,br-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
