id,название,описание,дни,ответвление,x,y,требование1,требование2,награда1,награда2,награда3,блокировать1,блокировать2
cn-course,КНР 2026: единая стратегия Азии,Китай проводит один самостоятельный курс азиатского лидерства.,42,Курс,12,1,,,politicalPower=60,stability=5,commandPower=20,,
cn-stability,Внутренняя устойчивость,Укрепить занятость жильё и управление регионами.,56,Государство,2,3,cn-course,,stability=12,gdp=35,budget=30,,
cn-tech,Технологический суверенитет,Развить полупроводники роботизацию связь и вычислительные мощности.,70,Государство,2,4,cn-stability,,factories=5,gdp=70,rare=30,,
cn-maritime,Морская промышленность,Расширить верфи торговый флот и ремонтную инфраструктуру.,56,Государство,2,5,cn-tech,,factories=4,steel=45,commandPower=20,,
cn-corridors,Северные сухопутные коридоры,Связать северо-восточные провинции с Монголией и КНДР.,56,Государство,2,6,cn-maritime,,gdp=35,steel=25,stability=4,,
cn-deterrence,Армия сдерживания,Обновить ПВО ракетные войска резервы и снабжение.,70,Государство,2,7,cn-corridors,,manpower=280,commandPower=55,warSupport=10,,
cn-ulanbaatar,Улан-Баторский диалог,Начать долгую дипломатическую работу с Монголией.,49,Монголия и КНДР,7,3,cn-course,,politicalPower=35,stability=3,,,
cn-steppe-transit,Степной транспортный договор,Открыть совместные транспортные и энергетические проекты с Монголией.,56,Монголия и КНДР,7,4,cn-ulanbaatar,,gdp=25,steel=20,budget=15,,
cn-mongolia-alliance,Союз с Монголией,Предложить Монголии добровольный оборонный союз при высоких отношениях и мире.,70,Монголия и КНДР,7,5,cn-steppe-transit,,organizationJoin=cn-mn-alliance,politicalPower=40,stability=5,,
cn-pyongyang,Пхеньянский канал,Открыть переговоры с КНДР и снизить риск приграничной эскалации.,49,Монголия и КНДР,10,3,cn-course,,politicalPower=35,stability=3,,,
cn-dprk-cooperation,Северокорейская промышленная кооперация,Развить торговлю энергетику и инфраструктуру с КНДР.,56,Монголия и КНДР,10,4,cn-pyongyang,,steel=25,factories=2,budget=20,,
cn-dprk-alliance,Союз с КНДР,Предложить КНДР добровольный оборонный союз при высоких отношениях и мире.,70,Монголия и КНДР,10,5,cn-dprk-cooperation,,organizationJoin=cn-dprk-alliance,politicalPower=40,stability=5,,
cn-northeast-pact,Пакт северо-восточной безопасности,Свести два добровольных союза в единый формат безопасности.,56,Монголия и КНДР,8,6,cn-mongolia-alliance,cn-dprk-alliance,organizationJoin=northeast-security,commandPower=25,stability=6,,
cn-integrate-mongolia,Акт о вступлении Монголии,После добровольного союза предложить Монголии войти в состав Китая. Отказ сохраняет союз.,70,Монголия и КНДР,7,8,cn-northeast-pact,,integrateCountry=Монголия,politicalPower=50,stability=6,,
cn-integrate-dprk,Акт о вступлении КНДР,После добровольного союза предложить КНДР войти в состав Китая. Отказ сохраняет союз.,70,Монголия и КНДР,10,8,cn-northeast-pact,,integrateCountry=КНДР,politicalPower=50,stability=5,,
cn-taiwan-crisis,Тайваньский кризис: решение Пекина,Выбрать признание отдельного статуса Тайваня или курс на военное объединение.,42,Тайвань,15,1,cn-course,,politicalPower=45,stability=-2,,,
cn-recognize-taiwan,Признать отдельный статус Тайваня,Отказаться от присоединения Тайваня и перейти к мирному урегулированию.,70,Тайвань: признание,13,3,cn-taiwan-crisis,,stability=10,politicalPower=35,gdp=20,Тайвань: единый Китай,
cn-strait-peace,Пролив без войны,Открыть торговое авиационное и морское соглашение с Тайванем.,56,Тайвань: признание,13,4,cn-recognize-taiwan,,gdp=45,budget=25,stability=6,,
cn-taipei-charter,Пекинско-тайбэйская экономическая хартия,Закрепить взаимную торговлю инвестиции и снижение напряжённости.,70,Тайвань: признание,13,5,cn-strait-peace,,gdp=65,factories=3,politicalPower=35,,
cn-detente,Восточноазиатская разрядка,Сделать мир в проливе основой стабильности региона.,56,Тайвань: признание,13,6,cn-taipei-charter,,stability=12,budget=30,politicalPower=45,,
cn-one-china,Политика единого Китая,Не признавать отдельный статус Тайваня и закрепить курс на объединение.,70,Тайвань: единый Китай,17,3,cn-taiwan-crisis,,politicalPower=50,warSupport=8,commandPower=15,Тайвань: признание,
cn-end-ambiguity,Завершить дипломатические двусмысленности,Создать политическую основу для конфликта без передачи территории.,56,Тайвань: единый Китай,17,4,cn-one-china,,politicalPower=45,warSupport=6,,,
cn-amphibious,Подготовка десантной операции,Подготовить флот логистику ПВО и резервы для тяжёлой кампании.,70,Тайвань: единый Китай,17,5,cn-end-ambiguity,cn-maritime,commandPower=50,manpower=180,steel=35,,
cn-demand-unification,Требование объединения,Открыть цель войны против Тайваня. Мирной унии в этом пути нет.,42,Тайвань: единый Китай,17,6,cn-amphibious,,warSupport=12,politicalPower=35,,,
cn-unify-by-war,Объединить Китай военным путём,Требует контроля над всей Тайваньской территорией и мирного оформления после войны.,70,Тайвань: единый Китай,17,8,cn-demand-unification,,formedNation=unified_china,politicalPower=100,stability=5,,
cn-ladakh-choice,Ладакх: выбор решения,Решить судьбу India: Ladakh ID 16 через выкуп признание или ограниченную войну.,42,Ладакх,22,1,cn-course,,politicalPower=35,stability=2,,,
cn-india-talks,Пекинско-делийские переговоры,Открыть путь к мирному урегулированию статуса Ладакха.,56,Ладакх: выкуп,20,3,cn-ladakh-choice,,politicalPower=30,stability=4,Ладакх: признание,Ладакх: война
cn-border-fund,Фонд пограничного урегулирования,Зарезервировать бюджет на выкуп или обмен Ладакха.,56,Ладакх: выкуп,20,4,cn-india-talks,,budget=-140,politicalPower=25,,,
cn-buy-ladakh,Выкуп Ладакха,Передать Индии компенсацию за добровольную передачу Ладакха. Требует согласия Индии и мира.,70,Ладакх: выкуп,20,5,cn-border-fund,,transferRegions=16,stability=5,politicalPower=45,,
cn-himalayan-corridor,Гималайский торговый коридор,Закрепить мирное соглашение торговлей и инфраструктурой.,56,Ладакх: выкуп,20,6,cn-buy-ladakh,,gdp=35,budget=20,stability=6,,
cn-recognize-ladakh,Признать Ладакх индийским,Навсегда снять китайскую претензию на Ладакх и стабилизировать границу.,70,Ладакх: признание,23,3,cn-ladakh-choice,,stability=10,politicalPower=30,Ладакх: выкуп,Ладакх: война
cn-demarcate,Демаркация границы,Зафиксировать признанную границу и снизить риск нового кризиса.,56,Ладакх: признание,23,4,cn-recognize-ladakh,,stability=8,budget=15,,,
cn-highland-market,Китайско-индийский рынок высот,Развить транспорт торговлю и инвестиции после признания границы.,70,Ладакх: признание,23,5,cn-demarcate,,gdp=55,budget=35,stability=6,,
cn-mountain-border,Укрепить горные рубежи,Подготовить снабжение и гарнизоны для высокогорного конфликта.,56,Ладакх: война,26,3,cn-ladakh-choice,,commandPower=35,manpower=100,warSupport=6,Ладакх: выкуп,Ладакх: признание
cn-high-altitude-plan,План высокогорной кампании,Подготовить армию к действиям в Ладакхе.,70,Ладакх: война,26,4,cn-mountain-border,,commandPower=45,steel=25,manpower=150,,
cn-ladakh-war-goal,Ограниченная цель войны,Открыть войну против Индии исключительно ради Ладакха.,42,Ладакх: война,26,5,cn-high-altitude-plan,,warSupport=12,politicalPower=35,,
