id,название,описание,дни,ответвление,x,y,требование1,награда1,награда2,блокировать1,блокировать2
at-course,Австрия 2026: выбор стратегии,Определить долгий курс республики.,35,Курс,6,1,,politicalPower=40,stability=5,,
at-europe,Европейское ядро,Сделать ставку на углубление европейской интеграции.,56,Европа,2,2,at-course,politicalPower=35,stability=6,Альпы,Дунай
at-alps,Альпийский нейтралитет,Защитить суверенитет через нейтралитет и горную оборону.,56,Альпы,6,2,at-course,politicalPower=30,stability=9,Европа,Дунай
at-danube,Дунайская федерация,Построить центральноевропейский проект на торговле и реках.,56,Дунай,10,2,at-course,politicalPower=35,budget=20,Европа,Альпы
at-militia,Милиционная подготовка,Расширить резерв и подготовку граждан.,49,Оборона,1,4,at-course,manpower=160,commandPower=20,,
at-passes,Защита перевалов,Подготовить оборону альпийских проходов.,56,Оборона,1,5,at-militia,commandPower=28,warSupport=6,,
at-logistics,Альпийская логистика,Укрепить тоннели склады и транспорт.,56,Оборона,1,6,at-passes,steel=25,factories=2,,
at-cyber,Киберзащита Вены и земель,Защитить связь и критическую инфраструктуру.,49,Оборона,1,7,at-logistics,commandPower=30,stability=5,,
at-defense,Оборона долгой кампании,Соединить резерв снабжение и гражданскую защиту.,70,Оборона,1,8,at-cyber,manpower=220,commandPower=40,,
at-hydro,Гидроэнергетика Альп,Расширить собственную генерацию энергии.,56,Экономика,4,4,at-course,oil=20,stability=6,,
at-tunnels,Железнодорожные тоннели,Ускорить связь Альп и Дуная.,56,Экономика,4,5,at-hydro,factories=2,steel=20,,
at-engineering,Инженерная промышленность,Поддержать высокоточное производство.,70,Экономика,4,6,at-tunnels,factories=3,gdp=35,,
at-specialists,Возвращение специалистов,Привлечь инженеров и исследователей.,49,Общество,8,4,at-course,manpower=130,gdp=20,,
at-cities,Жильё и городская мобильность,Снизить социальное напряжение в крупных городах.,56,Общество,8,5,at-specialists,stability=10,budget=15,,
at-universities,Университетская сеть,Связать образование и промышленную модернизацию.,56,Общество,8,6,at-cities,rare=15,gdp=25,,
at-eu-market,Европейский оборонный рынок,Создать общие стандарты производства и снабжения.,56,Европа,2,4,at-europe,factories=3,commandPower=20,,
at-eu-energy,Единая энергетическая сеть,Связать Австрию с европейской энергосистемой.,56,Европа,2,5,at-eu-market,oil=25,stability=6,,
at-eu-army,Совместимая армия Европы,Укрепить совместимость армий партнёров.,70,Европа,2,6,at-eu-energy,commandPower=35,warSupport=8,,
at-eu-conference,Европейская конференция,Подготовить конституционное соглашение союзников.,70,Европа,2,7,at-eu-army,politicalPower=55,stability=5,,
at-form-eu,Европейская конфедерация,Сформировать проект после добровольного союза или контроля Германии Франции Италии и Бенилюкса.,70,Европа,2,9,at-eu-conference,formedNation=austrian_european_confederation,politicalPower=100,,
at-alpine-defense,Совместная оборона Альп,Договориться о защите перевалов и спасательных службах.,56,Альпы,6,4,at-alps,commandPower=25,stability=6,,
at-alpine-finance,Финансовая устойчивость Альп,Создать резервный финансовый механизм с соседями.,56,Альпы,6,5,at-alpine-defense,budget=40,stability=6,,
at-alpine-trade,Альпийская торговая зона,Упростить торговлю и транзит нейтральных стран.,56,Альпы,6,6,at-alpine-finance,gdp=30,food=20,,
at-alpine-league,Альпийская лига,Сформировать лигу Австрии Швейцарии Лихтенштейна и Словении.,70,Альпы,6,8,at-alpine-trade,formedNation=alpine_league,politicalPower=90,stability=10,,
at-danube-ports,Дунайские порты,Развить речной транспорт и торговлю.,56,Дунай,10,4,at-danube,budget=30,gdp=20,,
at-czech-axis,Австрийско-чешская ось,Связать промышленность двух стран.,56,Дунай,10,5,at-danube-ports,factories=3,steel=25,,
at-carpathian-grid,Карпатская энергетическая сеть,Развить региональные энергомаршруты.,56,Дунай,10,6,at-czech-axis,oil=25,stability=5,,
at-danube-charter,Федеральная хартия Дуная,Оформить права земель будущей федерации.,70,Дунай,10,7,at-carpathian-grid,politicalPower=50,stability=8,,
at-form-danube,Дунайская федерация,Сформировать федерацию после добровольной унии или контроля Чехии Словакии Венгрии Словении Хорватии и Румынии.,70,Дунай,10,9,at-danube-charter,formedNation=danube_federation,politicalPower=100,stability=10,,
