id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
tr-course,Турция: национальный курс,Определить стратегию государства на 2026 год.,70,tr,3,1,tr-industry,tr-army,tr-diplomacy,tr-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
tr-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,tr,1,2,tr-resources,,,,,,,,,,tr-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
tr-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,tr,1,3,tr-doctrine,,,,,,,,,,tr-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
tr-army,Реформа армии,Обновить структуру войск и резервы.,70,tr,3,2,tr-bases,,,,,,,,,,tr-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
tr-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,tr,3,3,tr-doctrine,,,,,,,,,,tr-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
tr-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,tr,5,2,tr-trade,,,,,,,,,,tr-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
tr-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,tr,5,3,tr-doctrine,,,,,,,,,,tr-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
tr-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,tr,7,2,tr-reactors,,,,,,,,,,tr-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
tr-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,tr,7,3,tr-warheads,,,,,,,,,,tr-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
tr-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,tr,7,4,tr-grand-design,,,,,,,,,,tr-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
tr-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,tr,4,5,tr-grand-design,,,,,,,,,,tr-resources,tr-bases,tr-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
tr-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,tr,4,6,,,,,,,,,,,tr-doctrine,tr-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
