id,название,описание,подробно,дни,доступно с,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3,случайно1,случайно2,случайно3,случайно4,случайно5,случайно6,случайно7,случайно8,случайно9,случайно10
Ru-viboty2026,Выборы 2026,Выборы в Государственную Думу 2026 года проходят в рамках закона и задают политический курс страны на ближайшие годы.,"Выборы в Государственную Думу 2026 года проходят в рамках закона и задают политический курс страны на ближайшие годы.

Подробно: фокус «Выборы 2026» разворачивает направление «Выборы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Игровой эффект: politicalPower=25, stability=2.",3,,Выборы,3,1,Ru-viboty2026-pobeda-kommunizma,ru-continuity-majority,ru-patriotic-mandate,ru-technocratic-renewal,ru-social-compromise,,,,,,,,,,,,,,,,politicalPower=25,stability=2,,,,,,,,,,,,Ru-viboty2026-pobeda-kommunizma,ru-continuity-majority,ru-patriotic-mandate,ru-technocratic-renewal,ru-social-compromise,,,,,
ru-no-election-full-power,Отложить выборы,"Голосование не проводится под предлогом чрезвычайной управленческой необходимости. Общество реагирует болезненно, но вертикаль получает полный контроль решений.","Голосование не проводится под предлогом чрезвычайной управленческой необходимости. Общество реагирует болезненно, но вертикаль получает полный контроль решений.

Подробно: фокус «Отложить выборы» разворачивает направление «Выборы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Игровой эффект: politicalPower=160, stability=-18, warSupport=-6, commandPower=40.",21,,Выборы,23,2,ru-full-power-command-center,,,,,,,,,,,,,,,,,,,,politicalPower=160,stability=-18,warSupport=-6,commandPower=40,,,,,,,Выборы,,,,,,,,,,,,
Ru-viboty2026-pobeda-kommunizma,Красная победа,Левая парламентская коалиция получает мандат на социально ориентированную программу без выхода за рамки конституционного порядка.,"Левая парламентская коалиция получает мандат на социально ориентированную программу без выхода за рамки конституционного порядка.

Подробно: фокус «Красная победа» разворачивает направление «Выборы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=45, stability=3, warSupport=-1.",35,,Выборы,3,2,ru-social-audit,ru-industrial-plan,ru-regional-balance,ru-lawful-security,ru-eurasian-dialogue,ru-red-soviet-legal-platform,,,,,Ru-viboty2026,,,,,,,,,,politicalPower=45,stability=3,warSupport=-1,,,,,,,,Выборы,,,,,,,,,,,,
ru-continuity-majority,Курс большинства,Системная парламентская коалиция получает мандат на преемственность управления модернизацию институтов и осторожные реформы.,"Системная парламентская коалиция получает мандат на преемственность управления модернизацию институтов и осторожные реформы.

Подробно: фокус «Курс большинства» разворачивает направление «Выборы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=55, stability=5, budget=25.",35,,Выборы,7,2,ru-continuity-state-projects,ru-continuity-imperial-memory,,,,,,,,,Ru-viboty2026,,,,,,,,,,politicalPower=55,stability=5,budget=25,,,,,,,,Выборы,,,,,,,,,,,,
ru-patriotic-mandate,Патриотический мандат,Патриотическая оппозиция усиливает влияние в парламенте и требует жесткого контроля расходов безопасности и региональной поддержки.,"Патриотическая оппозиция усиливает влияние в парламенте и требует жесткого контроля расходов безопасности и региональной поддержки.

Подробно: фокус «Патриотический мандат» разворачивает направление «Выборы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=45, warSupport=4, commandPower=15.",35,,Выборы,11,2,ru-patriotic-veteran-support,ru-patriotic-imperial-mission,,,,,,,,,Ru-viboty2026,,,,,,,,,,politicalPower=45,warSupport=4,commandPower=15,,,,,,,,Выборы,,,,,,,,,,,,
ru-technocratic-renewal,Технократическое обновление,Молодая реформаторская фракция получает высокий результат и продвигает цифровые сервисы предпринимательство и обновление кадров.,"Молодая реформаторская фракция получает высокий результат и продвигает цифровые сервисы предпринимательство и обновление кадров.

Подробно: фокус «Технократическое обновление» разворачивает направление «Выборы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=40, gdp=18, rare=12.",35,,Выборы,15,2,ru-tech-small-business,ru-tech-digital-citizenship,,,,,,,,,Ru-viboty2026,,,,,,,,,,politicalPower=40,gdp=18,rare=12,,,,,,,,Выборы,,,,,,,,,,,,
ru-social-compromise,Социальный компромисс,Социально-патриотическая фракция становится ключевым партнером большинства и требует баланса поддержки граждан и бюджетной устойчивости.,"Социально-патриотическая фракция становится ключевым партнером большинства и требует баланса поддержки граждан и бюджетной устойчивости.

Подробно: фокус «Социальный компромисс» разворачивает направление «Выборы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=42, stability=4, food=15.",35,,Выборы,19,2,ru-compromise-family-support,ru-compromise-belarus-dialogue,,,,,,,,,Ru-viboty2026,,,,,,,,,,politicalPower=42,stability=4,food=15,,,,,,,,Выборы,,,,,,,,,,,,
ru-social-audit,Социальный аудит бюджета,Провести открытый аудит социальных расходов и перераспределить резервы на здравоохранение образование и поддержку семей.,"Провести открытый аудит социальных расходов и перераспределить резервы на здравоохранение образование и поддержку семей.

Подробно: фокус «Социальный аудит бюджета» разворачивает направление «Социальная программа» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=20, budget=25, stability=2.",45,,Социальная программа,1,3,ru-healthcare-modernization,,,,,,,,,,Ru-viboty2026-pobeda-kommunizma,,,,,,,,,,politicalPower=20,budget=25,stability=2,,,,,,,,,,,,,,,,,,,,
ru-healthcare-modernization,Модернизация поликлиник,Усилить первичную медицину обновить районные учреждения и ускорить поставки оборудования через законные госзакупки.,"Усилить первичную медицину обновить районные учреждения и ускорить поставки оборудования через законные госзакупки.

Подробно: фокус «Модернизация поликлиник» разворачивает направление «Социальная программа» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=4, gdp=8, politicalPower=10.",55,,Социальная программа,1,4,ru-school-and-college-track,,,,,,,,,,ru-social-audit,,,,,,,,,,stability=4,gdp=8,politicalPower=10,,,,,,,,,,,,,,,,,,,,
ru-school-and-college-track,Школы и колледжи,Расширить финансирование школ колледжей и прикладных программ для подготовки кадров в регионах.,"Расширить финансирование школ колледжей и прикладных программ для подготовки кадров в регионах.

Подробно: фокус «Школы и колледжи» разворачивает направление «Социальная программа» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=3, gdp=10, rare=6.",55,,Социальная программа,1,5,ru-housing-renovation,,,,,,,,,,ru-healthcare-modernization,,,,,,,,,,stability=3,gdp=10,rare=6,,,,,,,,,,,,,,,,,,,,
