id,название,описание,дни,ответвление,x,y,требование1,требование2,награда1,награда2,награда3,блокировать1,блокировать2
de-course,Германия 2026: выбор курса,Определить будущее Германии между добровольным западным содружеством и восточной ревизией границ.,42,Курс,6,1,,,politicalPower=50,stability=4,commandPower=15,,
de-state,Федеральная устойчивость,Укрепить работу земель муниципалитетов и федеральных институтов.,56,Государство,1,3,de-course,,stability=12,budget=30,politicalPower=20,,
de-industry,Индустрия нового цикла,Обновить машиностроение автоматизацию и производственные цепочки.,70,Экономика,3,3,de-course,,factories=5,gdp=55,steel=30,,
de-energy,Энергетическая безопасность,Снизить уязвимость энергосистемы и нарастить резервные мощности.,56,Экономика,3,4,de-industry,,oil=35,stability=7,budget=20,,
de-research,Европейские технологии,Связать университеты прикладную науку и высокоточное производство.,70,Экономика,3,5,de-energy,,rare=35,gdp=45,factories=2,,
de-bundeswehr,Бундесвер долгой кампании,Обновить связь резерв снабжение и противовоздушную оборону.,70,Оборона,9,3,de-course,,manpower=260,commandPower=45,warSupport=8,,
de-logistics,Центральноевропейская логистика,Подготовить железные дороги мосты и склады к длительной мобилизации.,56,Оборона,9,4,de-bundeswehr,,steel=35,factories=2,commandPower=20,,
de-deterrence,Сдерживание и ПВО,Соединить ПВО разведку и силы быстрого реагирования.,70,Оборона,9,5,de-logistics,,commandPower=45,warSupport=10,stability=4,,
de-west,Западный курс: содружество,Построить германское содружество на добровольном союзе альпийских стран.,56,Запад: содружество,3,2,de-course,,politicalPower=40,stability=8,organizationJoin=de-western-commonwealth,Восток: империя,
de-vienna-dialogue,Венский диалог,Открыть переговоры с Австрией о равном союзе и общих институтах.,56,Запад: содружество,2,4,de-west,,politicalPower=35,stability=4,,,
de-austrian-charter,Австрийская хартия,Согласовать добровольную унию Германии и Австрии при сохранении прав земель.,70,Запад: содружество,2,5,de-vienna-dialogue,,integrateCountry=Австрия,stability=6,politicalPower=45,,
de-vaduz-dialogue,Вадуцкий договор,Открыть переговоры с Лихтенштейном о добровольном вхождении в общее правовое пространство.,49,Запад: содружество,4,4,de-west,,budget=25,politicalPower=30,,,
de-liechtenstein-union,Союз с Лихтенштейном,Оформить добровольную унию с Лихтенштейном и гарантировать местное самоуправление.,56,Запад: содружество,4,5,de-vaduz-dialogue,,integrateCountry=Лихтенштейн,stability=5,politicalPower=35,,
de-swiss-conference,Швейцарская конференция,Предложить Швейцарии конфедеративную модель с гарантиями кантонов и нейтралитета.,70,Запад: содружество,6,4,de-west,,politicalPower=45,stability=5,budget=25,,
de-swiss-union,Швейцарская конфедеративная уния,Закрепить добровольное присоединение Швейцарии через общую хартию и права кантонов.,84,Запад: содружество,6,5,de-swiss-conference,,integrateCountry=Швейцария,stability=8,gdp=40,,
de-commonwealth-charter,Хартия Германского содружества,Утвердить федеративное устройство для Германии Австрии Лихтенштейна и Швейцарии.,70,Запад: содружество,4,7,de-austrian-charter,de-liechtenstein-union,politicalPower=60,stability=10,budget=40,,
de-form-german-commonwealth,Провозгласить Германское содружество,Сформировать добровольное объединение Германии Австрии Лихтенштейна и Швейцарии.,70,Запад: содружество,4,9,de-commonwealth-charter,de-swiss-union,politicalPower=120,stability=12,factories=7,,
de-east,Восточный курс: империя,Вернуть германский вопрос к границам до Первой мировой войны через войну и мирные договоры.,56,Восток: империя,9,2,de-course,,politicalPower=45,warSupport=8,commandPower=20,Запад: содружество,
de-revision,Ревизия Версальского порядка,Сформулировать исторические претензии и подготовить государство к конфликту за прежние границы.,70,Восток: империя,9,4,de-east,,politicalPower=45,warSupport=10,manpower=120,,
de-alsace-claim,Вернуть Эльзас–Лотарингию,Потребовать возвращения Эльзаса и Лотарингии; отказ открывает путь к войне с Францией.,56,Восток: империя,7,5,de-revision,,commandPower=25,warSupport=6,,,
de-eupen-claim,Вопрос Эйпена–Мальмеди,Потребовать возвращения германоязычных пограничных земель; отказ открывает путь к войне с Бельгией.,56,Восток: империя,9,5,de-revision,,commandPower=25,warSupport=6,,,
de-schleswig-claim,Вопрос Северного Шлезвига,Потребовать вернуть Северный Шлезвиг; отказ открывает путь к войне с Данией.,56,Восток: империя,11,5,de-revision,,commandPower=25,warSupport=6,,,
de-polish-claim,Прусские земли в Польше,Объявить целью возврат Познани Поморья Силезии Вармии и Мазур без каких-либо требований к Калининграду.,70,Восток: империя,13,5,de-revision,,commandPower=35,warSupport=8,manpower=140,,
de-western-war,Западная кампания,Добиться контроля над Эльзасом–Лотарингией и бельгийским пограничным кластером после войны и мира.,70,Восток: империя,8,7,de-alsace-claim,de-eupen-claim,commandPower=45,warSupport=10,manpower=180,,
de-northern-war,Северная кампания,Добиться контроля над Северным Шлезвигом после войны и мира с Данией.,70,Восток: империя,11,7,de-schleswig-claim,,commandPower=40,warSupport=9,manpower=150,,
de-polish-war,Восточная кампания,Добиться контроля над прусскими землями в Польше после войны и мирного оформления.,84,Восток: империя,13,7,de-polish-claim,,commandPower=55,warSupport=12,manpower=220,,
de-imperial-constitution,Имперская конституция,Подготовить конституцию восстановления после возвращения всех необходимых земель.,70,Восток: империя,10,9,de-western-war,de-northern-war,politicalPower=70,stability=5,commandPower=30,,
de-form-german-empire,Провозгласить Германскую империю,Сформировать империю после контроля над историческими землями до Первой мировой войны без Калининграда.,84,Восток: империя,10,11,de-imperial-constitution,de-polish-war,politicalPower=150,stability=8,factories=9,,
